INDIVIDUALS_PLINK	INDIVIDUALS_CLEAN
NS.1781.001.UDP0203_i7---UDP0203_i5.3B59.realigned.bam	NS.1781.001.UDP0203-i7---UDP0203-i5.3B59.realigned.bam
NS.1781.001.UDP0204_i7---UDP0204_i5.3B60.realigned.bam	NS.1781.001.UDP0204-i7---UDP0204-i5.3B60.realigned.bam
NS.1781.001.UDP0205_i7---UDP0205_i5.3B61.realigned.bam	NS.1781.001.UDP0205-i7---UDP0205-i5.3B61.realigned.bam
NS.1781.001.UDP0206_i7---UDP0206_i5.3B62.realigned.bam	NS.1781.001.UDP0206-i7---UDP0206-i5.3B62.realigned.bam
NS.1781.001.UDP0207_i7---UDP0207_i5.3B63.realigned.bam	NS.1781.001.UDP0207-i7---UDP0207-i5.3B63.realigned.bam
NS.1781.001.UDP0208_i7---UDP0208_i5.3B64.realigned.bam	NS.1781.001.UDP0208-i7---UDP0208-i5.3B64.realigned.bam
NS.1781.001.UDP0209_i7---UDP0209_i5.3B65.realigned.bam	NS.1781.001.UDP0209-i7---UDP0209-i5.3B65.realigned.bam
NS.1781.001.UDP0210_i7---UDP0210_i5.3B66.realigned.bam	NS.1781.001.UDP0210-i7---UDP0210-i5.3B66.realigned.bam
NS.1781.001.UDP0211_i7---UDP0211_i5.3B67.realigned.bam	NS.1781.001.UDP0211-i7---UDP0211-i5.3B67.realigned.bam
NS.1781.001.UDP0212_i7---UDP0212_i5.3B68.realigned.bam	NS.1781.001.UDP0212-i7---UDP0212-i5.3B68.realigned.bam
NS.1781.001.UDP0213_i7---UDP0213_i5.3B69.realigned.bam	NS.1781.001.UDP0213-i7---UDP0213-i5.3B69.realigned.bam
NS.1781.001.UDP0214_i7---UDP0214_i5.3B70.realigned.bam	NS.1781.001.UDP0214-i7---UDP0214-i5.3B70.realigned.bam
NS.1781.001.UDP0215_i7---UDP0215_i5.3B71.realigned.bam	NS.1781.001.UDP0215-i7---UDP0215-i5.3B71.realigned.bam
NS.1781.001.UDP0216_i7---UDP0216_i5.3B72.realigned.bam	NS.1781.001.UDP0216-i7---UDP0216-i5.3B72.realigned.bam
NS.1781.001.UDP0217_i7---UDP0217_i5.3B73.realigned.bam	NS.1781.001.UDP0217-i7---UDP0217-i5.3B73.realigned.bam
NS.1781.001.UDP0218_i7---UDP0218_i5.3B74.realigned.bam	NS.1781.001.UDP0218-i7---UDP0218-i5.3B74.realigned.bam
NS.1781.001.UDP0219_i7---UDP0219_i5.3B75.realigned.bam	NS.1781.001.UDP0219-i7---UDP0219-i5.3B75.realigned.bam
NS.1781.001.UDP0220_i7---UDP0220_i5.3B76.realigned.bam	NS.1781.001.UDP0220-i7---UDP0220-i5.3B76.realigned.bam
NS.1781.001.UDP0221_i7---UDP0221_i5.3B77.realigned.bam	NS.1781.001.UDP0221-i7---UDP0221-i5.3B77.realigned.bam
NS.1781.001.UDP0222_i7---UDP0222_i5.3B78.realigned.bam	NS.1781.001.UDP0222-i7---UDP0222-i5.3B78.realigned.bam
NS.1781.001.UDP0223_i7---UDP0223_i5.3B79.realigned.bam	NS.1781.001.UDP0223-i7---UDP0223-i5.3B79.realigned.bam
NS.1781.001.UDP0224_i7---UDP0224_i5.3B80.realigned.bam	NS.1781.001.UDP0224-i7---UDP0224-i5.3B80.realigned.bam
NS.1781.001.UDP0225_i7---UDP0225_i5.3B81.realigned.bam	NS.1781.001.UDP0225-i7---UDP0225-i5.3B81.realigned.bam
NS.1781.001.UDP0226_i7---UDP0226_i5.3B82.realigned.bam	NS.1781.001.UDP0226-i7---UDP0226-i5.3B82.realigned.bam
NS.1781.001.UDP0227_i7---UDP0227_i5.3B83.realigned.bam	NS.1781.001.UDP0227-i7---UDP0227-i5.3B83.realigned.bam
NS.1781.001.UDP0228_i7---UDP0228_i5.6B1.realigned.bam	NS.1781.001.UDP0228-i7---UDP0228-i5.6B1.realigned.bam
NS.1781.001.UDP0229_i7---UDP0229_i5.6B2.realigned.bam	NS.1781.001.UDP0229-i7---UDP0229-i5.6B2.realigned.bam
NS.1781.001.UDP0230_i7---UDP0230_i5.6B3.realigned.bam	NS.1781.001.UDP0230-i7---UDP0230-i5.6B3.realigned.bam
NS.1781.001.UDP0231_i7---UDP0231_i5.6B30.realigned.bam	NS.1781.001.UDP0231-i7---UDP0231-i5.6B30.realigned.bam
NS.1781.001.UDP0232_i7---UDP0232_i5.6B5.realigned.bam	NS.1781.001.UDP0232-i7---UDP0232-i5.6B5.realigned.bam
NS.1781.001.UDP0233_i7---UDP0233_i5.6B17.realigned.bam	NS.1781.001.UDP0233-i7---UDP0233-i5.6B17.realigned.bam
NS.1781.001.UDP0234_i7---UDP0234_i5.6B18.realigned.bam	NS.1781.001.UDP0234-i7---UDP0234-i5.6B18.realigned.bam
NS.1781.001.UDP0235_i7---UDP0235_i5.6B19.realigned.bam	NS.1781.001.UDP0235-i7---UDP0235-i5.6B19.realigned.bam
NS.1781.001.UDP0236_i7---UDP0236_i5.6B20.realigned.bam	NS.1781.001.UDP0236-i7---UDP0236-i5.6B20.realigned.bam
NS.1781.001.UDP0237_i7---UDP0237_i5.6B21.realigned.bam	NS.1781.001.UDP0237-i7---UDP0237-i5.6B21.realigned.bam
NS.1781.001.UDP0238_i7---UDP0238_i5.6B22.realigned.bam	NS.1781.001.UDP0238-i7---UDP0238-i5.6B22.realigned.bam
NS.1781.001.UDP0239_i7---UDP0239_i5.6B23.realigned.bam	NS.1781.001.UDP0239-i7---UDP0239-i5.6B23.realigned.bam
NS.1781.001.UDP0240_i7---UDP0240_i5.6B24.realigned.bam	NS.1781.001.UDP0240-i7---UDP0240-i5.6B24.realigned.bam
NS.1781.001.UDP0241_i7---UDP0241_i5.6B11.realigned.bam	NS.1781.001.UDP0241-i7---UDP0241-i5.6B11.realigned.bam
NS.1781.001.UDP0242_i7---UDP0242_i5.6B28.realigned.bam	NS.1781.001.UDP0242-i7---UDP0242-i5.6B28.realigned.bam
NS.1781.001.UDP0243_i7---UDP0243_i5.6B29.realigned.bam	NS.1781.001.UDP0243-i7---UDP0243-i5.6B29.realigned.bam
NS.1781.001.UDP0244_i7---UDP0244_i5.6B15.realigned.bam	NS.1781.001.UDP0244-i7---UDP0244-i5.6B15.realigned.bam
NS.1781.001.UDP0245_i7---UDP0245_i5.6B31.realigned.bam	NS.1781.001.UDP0245-i7---UDP0245-i5.6B31.realigned.bam
NS.1781.001.UDP0246_i7---UDP0246_i5.6B32.realigned.bam	NS.1781.001.UDP0246-i7---UDP0246-i5.6B32.realigned.bam
NS.1781.001.UDP0247_i7---UDP0247_i5.6B33.realigned.bam	NS.1781.001.UDP0247-i7---UDP0247-i5.6B33.realigned.bam
NS.1781.001.UDP0248_i7---UDP0248_i5.6B34.realigned.bam	NS.1781.001.UDP0248-i7---UDP0248-i5.6B34.realigned.bam
NS.1781.001.UDP0249_i7---UDP0249_i5.6B39.realigned.bam	NS.1781.001.UDP0249-i7---UDP0249-i5.6B39.realigned.bam
NS.1781.001.UDP0250_i7---UDP0250_i5.6B36.realigned.bam	NS.1781.001.UDP0250-i7---UDP0250-i5.6B36.realigned.bam
NS.1781.001.UDP0251_i7---UDP0251_i5.6B37.realigned.bam	NS.1781.001.UDP0251-i7---UDP0251-i5.6B37.realigned.bam
NS.1781.001.UDP0252_i7---UDP0252_i5.6B38.realigned.bam	NS.1781.001.UDP0252-i7---UDP0252-i5.6B38.realigned.bam
NS.1781.001.UDP0253_i7---UDP0253_i5.6B16.realigned.bam	NS.1781.001.UDP0253-i7---UDP0253-i5.6B16.realigned.bam
NS.1781.001.UDP0254_i7---UDP0254_i5.6B41.realigned.bam	NS.1781.001.UDP0254-i7---UDP0254-i5.6B41.realigned.bam
NS.1781.001.UDP0255_i7---UDP0255_i5.6B7.realigned.bam	NS.1781.001.UDP0255-i7---UDP0255-i5.6B7.realigned.bam
NS.1781.001.UDP0256_i7---UDP0256_i5.6B44.realigned.bam	NS.1781.001.UDP0256-i7---UDP0256-i5.6B44.realigned.bam
NS.1781.001.UDP0257_i7---UDP0257_i5.6B42.realigned.bam	NS.1781.001.UDP0257-i7---UDP0257-i5.6B42.realigned.bam
NS.1781.001.UDP0258_i7---UDP0258_i5.6B46.realigned.bam	NS.1781.001.UDP0258-i7---UDP0258-i5.6B46.realigned.bam
NS.1781.001.UDP0259_i7---UDP0259_i5.6B47.realigned.bam	NS.1781.001.UDP0259-i7---UDP0259-i5.6B47.realigned.bam
NS.1781.001.UDP0260_i7---UDP0260_i5.6B48.realigned.bam	NS.1781.001.UDP0260-i7---UDP0260-i5.6B48.realigned.bam
NS.1781.001.UDP0261_i7---UDP0261_i5.6B9.realigned.bam	NS.1781.001.UDP0261-i7---UDP0261-i5.6B9.realigned.bam
NS.1781.001.UDP0265_i7---UDP0265_i5.T17.realigned.bam	NS.1781.001.UDP0265-i7---UDP0265-i5.T17.realigned.bam
NS.1781.001.UDP0266_i7---UDP0266_i5.T43.realigned.bam	NS.1781.001.UDP0266-i7---UDP0266-i5.T43.realigned.bam
NS.1781.001.UDP0267_i7---UDP0267_i5.T11.realigned.bam	NS.1781.001.UDP0267-i7---UDP0267-i5.T11.realigned.bam
NS.1781.001.UDP0268_i7---UDP0268_i5.T45.realigned.bam	NS.1781.001.UDP0268-i7---UDP0268-i5.T45.realigned.bam
NS.1781.001.UDP0269_i7---UDP0269_i5.T2.realigned.bam	NS.1781.001.UDP0269-i7---UDP0269-i5.T2.realigned.bam
NS.1781.001.UDP0270_i7---UDP0270_i5.T25.realigned.bam	NS.1781.001.UDP0270-i7---UDP0270-i5.T25.realigned.bam
NS.1781.001.UDP0271_i7---UDP0271_i5.T40.realigned.bam	NS.1781.001.UDP0271-i7---UDP0271-i5.T40.realigned.bam
NS.1781.001.UDP0272_i7---UDP0272_i5.T29.realigned.bam	NS.1781.001.UDP0272-i7---UDP0272-i5.T29.realigned.bam
NS.1781.001.UDP0273_i7---UDP0273_i5.T6.realigned.bam	NS.1781.001.UDP0273-i7---UDP0273-i5.T6.realigned.bam
NS.1781.001.UDP0274_i7---UDP0274_i5.T31.realigned.bam	NS.1781.001.UDP0274-i7---UDP0274-i5.T31.realigned.bam
NS.1781.001.UDP0275_i7---UDP0275_i5.T7.realigned.bam	NS.1781.001.UDP0275-i7---UDP0275-i5.T7.realigned.bam
NS.1781.001.UDP0276_i7---UDP0276_i5.T36.realigned.bam	NS.1781.001.UDP0276-i7---UDP0276-i5.T36.realigned.bam
NS.1781.001.UDP0277_i7---UDP0277_i5.T4.realigned.bam	NS.1781.001.UDP0277-i7---UDP0277-i5.T4.realigned.bam
NS.1781.001.UDP0278_i7---UDP0278_i5.T8.realigned.bam	NS.1781.001.UDP0278-i7---UDP0278-i5.T8.realigned.bam
NS.1781.001.UDP0279_i7---UDP0279_i5.T12.realigned.bam	NS.1781.001.UDP0279-i7---UDP0279-i5.T12.realigned.bam
NS.1781.001.UDP0281_i7---UDP0281_i5.T23.realigned.bam	NS.1781.001.UDP0281-i7---UDP0281-i5.T23.realigned.bam
NS.1781.001.UDP0282_i7---UDP0282_i5.T27.realigned.bam	NS.1781.001.UDP0282-i7---UDP0282-i5.T27.realigned.bam
NS.1781.001.UDP0283_i7---UDP0283_i5.T18.realigned.bam	NS.1781.001.UDP0283-i7---UDP0283-i5.T18.realigned.bam
NS.1781.001.UDP0284_i7---UDP0284_i5.T41.realigned.bam	NS.1781.001.UDP0284-i7---UDP0284-i5.T41.realigned.bam
NS.1781.001.UDP0285_i7---UDP0285_i5.T21.realigned.bam	NS.1781.001.UDP0285-i7---UDP0285-i5.T21.realigned.bam
NS.1781.001.UDP0286_i7---UDP0286_i5.T15.realigned.bam	NS.1781.001.UDP0286-i7---UDP0286-i5.T15.realigned.bam
NS.1781.001.UDP0287_i7---UDP0287_i5.T30.realigned.bam	NS.1781.001.UDP0287-i7---UDP0287-i5.T30.realigned.bam
NS.1781.001.UDP0288_i7---UDP0288_i5.T13.realigned.bam	NS.1781.001.UDP0288-i7---UDP0288-i5.T13.realigned.bam
NS.1781.002.UDP0193_i7---UDP0193_i5.10B1.realigned.bam	NS.1781.002.UDP0193-i7---UDP0193-i5.10B1.realigned.bam
NS.1781.002.UDP0194_i7---UDP0194_i5.10B2.realigned.bam	NS.1781.002.UDP0194-i7---UDP0194-i5.10B2.realigned.bam
NS.1781.002.UDP0195_i7---UDP0195_i5.10B3.realigned.bam	NS.1781.002.UDP0195-i7---UDP0195-i5.10B3.realigned.bam
NS.1781.002.UDP0196_i7---UDP0196_i5.10B4.realigned.bam	NS.1781.002.UDP0196-i7---UDP0196-i5.10B4.realigned.bam
NS.1781.002.UDP0198_i7---UDP0198_i5.10B6.realigned.bam	NS.1781.002.UDP0198-i7---UDP0198-i5.10B6.realigned.bam
NS.1781.002.UDP0199_i7---UDP0199_i5.10B7.realigned.bam	NS.1781.002.UDP0199-i7---UDP0199-i5.10B7.realigned.bam
NS.1781.002.UDP0200_i7---UDP0200_i5.BdC17.realigned.bam	NS.1781.002.UDP0200-i7---UDP0200-i5.BdC17.realigned.bam
NS.1781.002.UDP0201_i7---UDP0201_i5.10B10.realigned.bam	NS.1781.002.UDP0201-i7---UDP0201-i5.10B10.realigned.bam
NS.1781.002.UDP0202_i7---UDP0202_i5.10B11.realigned.bam	NS.1781.002.UDP0202-i7---UDP0202-i5.10B11.realigned.bam
NS.1781.002.UDP0203_i7---UDP0203_i5.10B12.realigned.bam	NS.1781.002.UDP0203-i7---UDP0203-i5.10B12.realigned.bam
NS.1781.002.UDP0204_i7---UDP0204_i5.10B13.realigned.bam	NS.1781.002.UDP0204-i7---UDP0204-i5.10B13.realigned.bam
NS.1781.002.UDP0205_i7---UDP0205_i5.10B14.realigned.bam	NS.1781.002.UDP0205-i7---UDP0205-i5.10B14.realigned.bam
NS.1781.002.UDP0206_i7---UDP0206_i5.10B15.realigned.bam	NS.1781.002.UDP0206-i7---UDP0206-i5.10B15.realigned.bam
NS.1781.002.UDP0207_i7---UDP0207_i5.10B41.realigned.bam	NS.1781.002.UDP0207-i7---UDP0207-i5.10B41.realigned.bam
NS.1781.002.UDP0208_i7---UDP0208_i5.BdC18.realigned.bam	NS.1781.002.UDP0208-i7---UDP0208-i5.BdC18.realigned.bam
NS.1781.002.UDP0209_i7---UDP0209_i5.10B17.realigned.bam	NS.1781.002.UDP0209-i7---UDP0209-i5.10B17.realigned.bam
NS.1781.002.UDP0210_i7---UDP0210_i5.10B18.realigned.bam	NS.1781.002.UDP0210-i7---UDP0210-i5.10B18.realigned.bam
NS.1781.002.UDP0211_i7---UDP0211_i5.10B19.realigned.bam	NS.1781.002.UDP0211-i7---UDP0211-i5.10B19.realigned.bam
NS.1781.002.UDP0212_i7---UDP0212_i5.10B20.realigned.bam	NS.1781.002.UDP0212-i7---UDP0212-i5.10B20.realigned.bam
NS.1781.002.UDP0213_i7---UDP0213_i5.10B21.realigned.bam	NS.1781.002.UDP0213-i7---UDP0213-i5.10B21.realigned.bam
NS.1781.002.UDP0214_i7---UDP0214_i5.10B22.realigned.bam	NS.1781.002.UDP0214-i7---UDP0214-i5.10B22.realigned.bam
NS.1781.002.UDP0215_i7---UDP0215_i5.10B42.realigned.bam	NS.1781.002.UDP0215-i7---UDP0215-i5.10B42.realigned.bam
NS.1781.002.UDP0216_i7---UDP0216_i5.BdC19.realigned.bam	NS.1781.002.UDP0216-i7---UDP0216-i5.BdC19.realigned.bam
NS.1781.002.UDP0217_i7---UDP0217_i5.10B25.realigned.bam	NS.1781.002.UDP0217-i7---UDP0217-i5.10B25.realigned.bam
NS.1781.002.UDP0218_i7---UDP0218_i5.10B26.realigned.bam	NS.1781.002.UDP0218-i7---UDP0218-i5.10B26.realigned.bam
NS.1781.002.UDP0219_i7---UDP0219_i5.10B27.realigned.bam	NS.1781.002.UDP0219-i7---UDP0219-i5.10B27.realigned.bam
NS.1781.002.UDP0220_i7---UDP0220_i5.10B28.realigned.bam	NS.1781.002.UDP0220-i7---UDP0220-i5.10B28.realigned.bam
NS.1781.002.UDP0221_i7---UDP0221_i5.10B29.realigned.bam	NS.1781.002.UDP0221-i7---UDP0221-i5.10B29.realigned.bam
NS.1781.002.UDP0222_i7---UDP0222_i5.10B30.realigned.bam	NS.1781.002.UDP0222-i7---UDP0222-i5.10B30.realigned.bam
NS.1781.002.UDP0223_i7---UDP0223_i5.10B31.realigned.bam	NS.1781.002.UDP0223-i7---UDP0223-i5.10B31.realigned.bam
NS.1781.002.UDP0224_i7---UDP0224_i5.BdC20.realigned.bam	NS.1781.002.UDP0224-i7---UDP0224-i5.BdC20.realigned.bam
NS.1781.002.UDP0225_i7---UDP0225_i5.10B33.realigned.bam	NS.1781.002.UDP0225-i7---UDP0225-i5.10B33.realigned.bam
NS.1781.002.UDP0226_i7---UDP0226_i5.10B34.realigned.bam	NS.1781.002.UDP0226-i7---UDP0226-i5.10B34.realigned.bam
NS.1781.002.UDP0227_i7---UDP0227_i5.10B35.realigned.bam	NS.1781.002.UDP0227-i7---UDP0227-i5.10B35.realigned.bam
NS.1781.002.UDP0228_i7---UDP0228_i5.10B36.realigned.bam	NS.1781.002.UDP0228-i7---UDP0228-i5.10B36.realigned.bam
NS.1781.002.UDP0229_i7---UDP0229_i5.10B37.realigned.bam	NS.1781.002.UDP0229-i7---UDP0229-i5.10B37.realigned.bam
NS.1781.002.UDP0230_i7---UDP0230_i5.10B38.realigned.bam	NS.1781.002.UDP0230-i7---UDP0230-i5.10B38.realigned.bam
NS.1781.002.UDP0231_i7---UDP0231_i5.10B39.realigned.bam	NS.1781.002.UDP0231-i7---UDP0231-i5.10B39.realigned.bam
NS.1781.002.UDP0232_i7---UDP0232_i5.BdC21.realigned.bam	NS.1781.002.UDP0232-i7---UDP0232-i5.BdC21.realigned.bam
NS.1781.002.UDP0233_i7---UDP0233_i5.4_1.realigned.bam	NS.1781.002.UDP0233-i7---UDP0233-i5.4-1.realigned.bam
NS.1781.002.UDP0234_i7---UDP0234_i5.4_2.realigned.bam	NS.1781.002.UDP0234-i7---UDP0234-i5.4-2.realigned.bam
NS.1781.002.UDP0235_i7---UDP0235_i5.4_3.realigned.bam	NS.1781.002.UDP0235-i7---UDP0235-i5.4-3.realigned.bam
NS.1781.002.UDP0236_i7---UDP0236_i5.4_4.realigned.bam	NS.1781.002.UDP0236-i7---UDP0236-i5.4-4.realigned.bam
NS.1781.002.UDP0237_i7---UDP0237_i5.4_5.realigned.bam	NS.1781.002.UDP0237-i7---UDP0237-i5.4-5.realigned.bam
NS.1781.002.UDP0238_i7---UDP0238_i5.4_6.realigned.bam	NS.1781.002.UDP0238-i7---UDP0238-i5.4-6.realigned.bam
NS.1781.002.UDP0239_i7---UDP0239_i5.4_7.realigned.bam	NS.1781.002.UDP0239-i7---UDP0239-i5.4-7.realigned.bam
NS.1781.002.UDP0240_i7---UDP0240_i5.BdC22.realigned.bam	NS.1781.002.UDP0240-i7---UDP0240-i5.BdC22.realigned.bam
NS.1781.002.UDP0241_i7---UDP0241_i5.4_9.realigned.bam	NS.1781.002.UDP0241-i7---UDP0241-i5.4-9.realigned.bam
NS.1781.002.UDP0242_i7---UDP0242_i5.4_10.realigned.bam	NS.1781.002.UDP0242-i7---UDP0242-i5.4-10.realigned.bam
NS.1781.002.UDP0243_i7---UDP0243_i5.4_11.realigned.bam	NS.1781.002.UDP0243-i7---UDP0243-i5.4-11.realigned.bam
NS.1781.002.UDP0244_i7---UDP0244_i5.4_12.realigned.bam	NS.1781.002.UDP0244-i7---UDP0244-i5.4-12.realigned.bam
NS.1781.002.UDP0245_i7---UDP0245_i5.4_13.realigned.bam	NS.1781.002.UDP0245-i7---UDP0245-i5.4-13.realigned.bam
NS.1781.002.UDP0246_i7---UDP0246_i5.4_14.realigned.bam	NS.1781.002.UDP0246-i7---UDP0246-i5.4-14.realigned.bam
NS.1781.002.UDP0247_i7---UDP0247_i5.4_15.realigned.bam	NS.1781.002.UDP0247-i7---UDP0247-i5.4-15.realigned.bam
NS.1781.002.UDP0248_i7---UDP0248_i5.BdC23.realigned.bam	NS.1781.002.UDP0248-i7---UDP0248-i5.BdC23.realigned.bam
NS.1781.002.UDP0249_i7---UDP0249_i5.4_17.realigned.bam	NS.1781.002.UDP0249-i7---UDP0249-i5.4-17.realigned.bam
NS.1781.002.UDP0250_i7---UDP0250_i5.4_18.realigned.bam	NS.1781.002.UDP0250-i7---UDP0250-i5.4-18.realigned.bam
NS.1781.002.UDP0251_i7---UDP0251_i5.4_19.realigned.bam	NS.1781.002.UDP0251-i7---UDP0251-i5.4-19.realigned.bam
NS.1781.002.UDP0252_i7---UDP0252_i5.4_20.realigned.bam	NS.1781.002.UDP0252-i7---UDP0252-i5.4-20.realigned.bam
NS.1781.002.UDP0253_i7---UDP0253_i5.4_21.realigned.bam	NS.1781.002.UDP0253-i7---UDP0253-i5.4-21.realigned.bam
NS.1781.002.UDP0254_i7---UDP0254_i5.4_22.realigned.bam	NS.1781.002.UDP0254-i7---UDP0254-i5.4-22.realigned.bam
NS.1781.002.UDP0255_i7---UDP0255_i5.4_23.realigned.bam	NS.1781.002.UDP0255-i7---UDP0255-i5.4-23.realigned.bam
NS.1781.002.UDP0256_i7---UDP0256_i5.BdC24.realigned.bam	NS.1781.002.UDP0256-i7---UDP0256-i5.BdC24.realigned.bam
NS.1781.002.UDP0257_i7---UDP0257_i5.4_25.realigned.bam	NS.1781.002.UDP0257-i7---UDP0257-i5.4-25.realigned.bam
NS.1781.002.UDP0258_i7---UDP0258_i5.4_26.realigned.bam	NS.1781.002.UDP0258-i7---UDP0258-i5.4-26.realigned.bam
NS.1781.002.UDP0259_i7---UDP0259_i5.4_27.realigned.bam	NS.1781.002.UDP0259-i7---UDP0259-i5.4-27.realigned.bam
NS.1781.002.UDP0260_i7---UDP0260_i5.4_28.realigned.bam	NS.1781.002.UDP0260-i7---UDP0260-i5.4-28.realigned.bam
NS.1781.002.UDP0261_i7---UDP0261_i5.4_29.realigned.bam	NS.1781.002.UDP0261-i7---UDP0261-i5.4-29.realigned.bam
NS.1781.002.UDP0262_i7---UDP0262_i5.4_30.realigned.bam	NS.1781.002.UDP0262-i7---UDP0262-i5.4-30.realigned.bam
NS.1781.002.UDP0263_i7---UDP0263_i5.4_31.realigned.bam	NS.1781.002.UDP0263-i7---UDP0263-i5.4-31.realigned.bam
NS.1781.002.UDP0264_i7---UDP0264_i5.BdC25.realigned.bam	NS.1781.002.UDP0264-i7---UDP0264-i5.BdC25.realigned.bam
NS.1781.002.UDP0265_i7---UDP0265_i5.4_33.realigned.bam	NS.1781.002.UDP0265-i7---UDP0265-i5.4-33.realigned.bam
NS.1781.002.UDP0267_i7---UDP0267_i5.4_35.realigned.bam	NS.1781.002.UDP0267-i7---UDP0267-i5.4-35.realigned.bam
NS.1781.002.UDP0268_i7---UDP0268_i5.4_36.realigned.bam	NS.1781.002.UDP0268-i7---UDP0268-i5.4-36.realigned.bam
NS.1781.002.UDP0269_i7---UDP0269_i5.4_37.realigned.bam	NS.1781.002.UDP0269-i7---UDP0269-i5.4-37.realigned.bam
NS.1781.002.UDP0270_i7---UDP0270_i5.4_38.realigned.bam	NS.1781.002.UDP0270-i7---UDP0270-i5.4-38.realigned.bam
NS.1781.002.UDP0271_i7---UDP0271_i5.4_39.realigned.bam	NS.1781.002.UDP0271-i7---UDP0271-i5.4-39.realigned.bam
NS.1781.002.UDP0272_i7---UDP0272_i5.BdC26.realigned.bam	NS.1781.002.UDP0272-i7---UDP0272-i5.BdC26.realigned.bam
NS.1781.002.UDP0274_i7---UDP0274_i5.BdC2.realigned.bam	NS.1781.002.UDP0274-i7---UDP0274-i5.BdC2.realigned.bam
NS.1781.002.UDP0275_i7---UDP0275_i5.BdC3.realigned.bam	NS.1781.002.UDP0275-i7---UDP0275-i5.BdC3.realigned.bam
NS.1781.002.UDP0277_i7---UDP0277_i5.BdC5.realigned.bam	NS.1781.002.UDP0277-i7---UDP0277-i5.BdC5.realigned.bam
NS.1781.002.UDP0278_i7---UDP0278_i5.BdC6.realigned.bam	NS.1781.002.UDP0278-i7---UDP0278-i5.BdC6.realigned.bam
NS.1781.002.UDP0279_i7---UDP0279_i5.BdC7.realigned.bam	NS.1781.002.UDP0279-i7---UDP0279-i5.BdC7.realigned.bam
NS.1781.002.UDP0281_i7---UDP0281_i5.BdC9.realigned.bam	NS.1781.002.UDP0281-i7---UDP0281-i5.BdC9.realigned.bam
NS.1781.002.UDP0282_i7---UDP0282_i5.BdC10.realigned.bam	NS.1781.002.UDP0282-i7---UDP0282-i5.BdC10.realigned.bam
NS.1781.002.UDP0283_i7---UDP0283_i5.BdC11.realigned.bam	NS.1781.002.UDP0283-i7---UDP0283-i5.BdC11.realigned.bam
NS.1781.002.UDP0284_i7---UDP0284_i5.BdC12.realigned.bam	NS.1781.002.UDP0284-i7---UDP0284-i5.BdC12.realigned.bam
NS.1781.002.UDP0286_i7---UDP0286_i5.BdC14.realigned.bam	NS.1781.002.UDP0286-i7---UDP0286-i5.BdC14.realigned.bam
NS.1781.002.UDP0287_i7---UDP0287_i5.BdC15.realigned.bam	NS.1781.002.UDP0287-i7---UDP0287-i5.BdC15.realigned.bam
NS.1781.003.UDP0193_i7---UDP0193_i5.5A1.realigned.bam	NS.1781.003.UDP0193-i7---UDP0193-i5.5A1.realigned.bam
NS.1781.003.UDP0194_i7---UDP0194_i5.5A2.realigned.bam	NS.1781.003.UDP0194-i7---UDP0194-i5.5A2.realigned.bam
NS.1781.003.UDP0195_i7---UDP0195_i5.5A3.realigned.bam	NS.1781.003.UDP0195-i7---UDP0195-i5.5A3.realigned.bam
NS.1781.003.UDP0196_i7---UDP0196_i5.5A4.realigned.bam	NS.1781.003.UDP0196-i7---UDP0196-i5.5A4.realigned.bam
NS.1781.003.UDP0197_i7---UDP0197_i5.5A5.realigned.bam	NS.1781.003.UDP0197-i7---UDP0197-i5.5A5.realigned.bam
NS.1781.003.UDP0198_i7---UDP0198_i5.5A6.realigned.bam	NS.1781.003.UDP0198-i7---UDP0198-i5.5A6.realigned.bam
NS.1781.003.UDP0199_i7---UDP0199_i5.5A7.realigned.bam	NS.1781.003.UDP0199-i7---UDP0199-i5.5A7.realigned.bam
NS.1781.003.UDP0200_i7---UDP0200_i5.5A8.realigned.bam	NS.1781.003.UDP0200-i7---UDP0200-i5.5A8.realigned.bam
NS.1781.003.UDP0201_i7---UDP0201_i5.5A9.realigned.bam	NS.1781.003.UDP0201-i7---UDP0201-i5.5A9.realigned.bam
NS.1781.003.UDP0202_i7---UDP0202_i5.5A10.realigned.bam	NS.1781.003.UDP0202-i7---UDP0202-i5.5A10.realigned.bam
NS.1781.003.UDP0203_i7---UDP0203_i5.5A11.realigned.bam	NS.1781.003.UDP0203-i7---UDP0203-i5.5A11.realigned.bam
NS.1781.003.UDP0204_i7---UDP0204_i5.5A12.realigned.bam	NS.1781.003.UDP0204-i7---UDP0204-i5.5A12.realigned.bam
NS.1781.003.UDP0205_i7---UDP0205_i5.5A13.realigned.bam	NS.1781.003.UDP0205-i7---UDP0205-i5.5A13.realigned.bam
NS.1781.003.UDP0206_i7---UDP0206_i5.5A14.realigned.bam	NS.1781.003.UDP0206-i7---UDP0206-i5.5A14.realigned.bam
NS.1781.003.UDP0207_i7---UDP0207_i5.5A15.realigned.bam	NS.1781.003.UDP0207-i7---UDP0207-i5.5A15.realigned.bam
NS.1781.003.UDP0208_i7---UDP0208_i5.5A16.realigned.bam	NS.1781.003.UDP0208-i7---UDP0208-i5.5A16.realigned.bam
NS.1781.003.UDP0209_i7---UDP0209_i5.5A48.realigned.bam	NS.1781.003.UDP0209-i7---UDP0209-i5.5A48.realigned.bam
